Crop,Season,Rainfall,Temperature,Humidity,Soil_Type,Nitrogen,Phosphorus,Potassium,Yield
Wheat,Rabi,650,20,55,Loamy,90,42,40,4.2
Wheat,Rabi,700,22,60,Loamy,95,45,42,4.8
Wheat,Rabi,600,19,52,Clay,85,40,38,3.9
Wheat,Rabi,750,21,58,Loamy,100,48,45,5.1
Rice,Kharif,1200,28,80,Clay,110,50,45,5.5
Rice,Kharif,1400,30,85,Clay,120,55,50,6.2
Rice,Kharif,1100,27,78,Loamy,105,48,42,5.0
Rice,Kharif,1500,29,82,Clay,125,58,52,6.5
Maize,Kharif,700,26,65,Loamy,80,35,38,4.0
Maize,Kharif,800,28,68,Sandy,85,38,40,4.5
Maize,Kharif,750,27,66,Loamy,82,36,39,4.2
Maize,Kharif,850,29,70,Loamy,90,40,42,4.8
Sugarcane,Annual,1100,30,75,Loamy,130,60,55,70
Sugarcane,Annual,1200,32,78,Clay,140,65,60,78
Sugarcane,Annual,1000,29,72,Loamy,125,58,52,65
Sugarcane,Annual,1300,31,80,Clay,145,68,62,82
Cotton,Kharif,600,32,60,Black,100,45,50,3.5
Cotton,Kharif,700,34,65,Black,110,50,55,4.1
Cotton,Kharif,550,31,58,Black,95,42,48,3.2
Cotton,Kharif,750,33,68,Black,115,52,58,4.5
